archetype_a,archetype_b,win,loss,draw,games,winrate
Gruul Broodscale,Golgari Yawgmoth,0,1,0,1,0.0
Grixis Reanimator,Izzet,1,0,0,1,100.0
Izzet,Temur Living End,0,0,1,1,
Mono-Blue Belcher,Domain Zoo,1,0,0,1,100.0
Ruby Storm,Gruul Eldrazi Ramp,0,1,0,1,0.0
Ruby Storm,Temur Living End,0,1,0,1,0.0
Amulet Titan,Amulet Titan,1,1,0,2,50.0
Izzet,Grixis Reanimator,0,1,0,1,0.0
Izzet,Mono-Red Storm,0,1,0,1,0.0
Amulet Titan,Esper Blink,1,1,1,3,50.0
W-U-B-G Goryo's Vengeance,Dimir Midrange,1,0,0,1,100.0
Golgari Yawgmoth,Gruul Broodscale,1,0,0,1,100.0
Gruul Broodscale,Mono-Red Storm,0,1,0,1,0.0
Amulet Titan,Dimir Midrange,1,0,0,1,100.0
Amulet Titan,Golgari Yawgmoth,0,1,0,1,0.0
Domain Zoo,Dimir Midrange,1,0,0,1,100.0
Domain Zoo,Mono-Blue Belcher,0,1,0,1,0.0
Dimir Midrange,Amulet Titan,0,1,0,1,0.0
Dimir Midrange,Izzet Affinity,0,1,0,1,0.0
Dimir Midrange,Domain Zoo,0,1,0,1,0.0
Dimir Midrange,W-U-B-G Goryo's Vengeance,0,1,0,1,0.0
Izzet Affinity,Esper Blink,2,2,1,5,50.0
Esper Blink,Izzet Affinity,2,2,1,5,50.0
Azorius Blink,Grixis Reanimator,1,0,0,1,100.0
Azorius Blink,Izzet,1,0,0,1,100.0
Esper Blink,Grixis Reanimator,0,1,0,1,0.0
Gruul Broodscale,Dimir Midrange,1,1,0,2,50.0
Grixis Reanimator,Domain Zoo,1,0,0,1,100.0
Grixis Reanimator,Azorius Blink,0,1,0,1,0.0
Grixis Reanimator,Dimir Midrange,1,0,0,1,100.0
Izzet,Azorius Blink,0,1,0,1,0.0
Domain Zoo,Grixis Reanimator,0,1,0,1,0.0
Grixis Reanimator,Esper Blink,1,0,0,1,100.0
Dimir Midrange,Gruul Broodscale,1,1,0,2,50.0
Dimir Midrange,Grixis Reanimator,0,1,0,1,0.0
Gruul Broodscale,Ruby Storm,1,0,0,1,100.0
Ruby Storm,Gruul Broodscale,0,1,0,1,0.0
Temur Living End,Amulet Titan,1,0,0,1,100.0
Temur Living End,Grixis Reanimator,1,0,0,1,100.0
Grixis Reanimator,Temur Living End,0,1,0,1,0.0
Amulet Titan,Temur Living End,0,1,0,1,0.0
